Department=[Amazon.com],Search Term=[],Enter ASINs or Products=[],Reporting Range=[Weekly],Viewing=[11/8/20 - 11/14/20],,,,,,,,,,
Amazon.com,grinch christmas decorations,292,B08MBRRN3C,"MiaoKa Green Arm & Head Ornament, Furry Plush Doll Christmas Tree Holder Decoration for The Christmas Home Party( Approx 23 to 26 inches)",14.86%,11.74%,B08K4C9G8F,Elf Body for Christmas Tree Decorations Plush,6.42%,4.38%,B08LGXG4NM,AKIWOS Christmas Thief Wreath Naughty Xmas Thief Burlap Wreaths with Pose-able Plush Legs Christmas Hanging Ornament for Christmas Tree/Front Door/Living Room/Wall/Window Indoor Decoration (12x16 in),5.17%,4.24%
Amazon.com,gloves,293,B07KYVGGTK,"Medpride Medical Vinyl Examination Gloves | Latex and Powder Free | Disposable, Ultra-Strong, Clear | Food Handling Use",15.29%,18.15%,B07NVXPSWP,"Medpride Vinyl Gloves| 4.3 mil Thick, Powder-Free, Non-Sterile, Heavy Duty Disposable Gloves| Medical, Food Handling",6.36%,8.19%,B00GS8W3T4,"MedPride Powder-Free Nitrile Exam Gloves, Medium, Box/100",6.34%,6.57%
Amazon.com,vans,294,B00IO6EP9O,Vans Unisex Classic Slip-On (Checkerboard) Skate Shoe,14.50%,7.57%,B07628L61W,Vans Men's Embossed Suede Slip-On Skate Shoe,11.47%,8.36%,B07628RD5X,Vans Unisex Old Skool Classic Skate Shoes,7.63%,7.31%
Amazon.com,stickers,295,B08518LVFD,"200 PCS Stickers Pack (50-500Pcs/Pack), Colorful Waterproof Stickers for Flask, Laptop, Phone, Water Bottle, Cute Aesthetic Vinyl Stickers for Teens, Girls",22.27%,14.89%,B07BJ5L7N3,Fashion Angels 1000+ Ridiculously Cute Stickers,9.16%,17.17%,B07W62FZC7,CHNLML Cool Sticker 55-905pcs Random Music Film Vinyl Skateboard Guitar Travel Case Sticker Door Laptop Luggage Car Bike Bicycle Stickers ( Random Pack) (105pcs),7.30%,6.90%
Amazon.com,books for 3 year olds,296,B085HNSRQK,"Let's Play I Spy Vehicles: I spy Fun Picture Puzzle Book for 2-5 Year Olds girls and boys Adding Up Book,Interactive Picture Book for Preschoolers & Toddlers (Vehicles Activity Book)",12.98%,14.53%,0545261244,The Wonky Donkey,8.18%,9.50%,9387779262,My First Library : Boxset of 10 Board Books for Kids,7.61%,6.70%
Amazon.com,dog treats,297,B003PMQMK2,"Milk-Bone MaroSnacks Dog Treats for Dogs of All Sizes, 40 Ounces",12.39%,13.30%,B07VC2SLTH,Amazon Brand - Wag Treats Chicken and Waffle Bites 6oz,9.84%,10.03%,B010IU5B78,"Good'N'Fun Triple Flavored Rawhide Kabobs For Dogs, 12 Oz",5.26%,5.70%
Amazon.com,electric fireplace,298,B07VFVZ95T,"R.W.FLAME 50 inch Recessed and Wall Mounted,The Thinnest Electric Fireplace,Low Noise , Fit for 2 x 4 and 2 x 6 Stud, Remote Control with Timer,Touch Screen,Adjustable Flame Colors and Speed",9.10%,11.07%,B07X2VZMVG,"TURBRO Suburbs TS17 Compact Electric Fireplace Stove, Freestanding Stove Heater with Realistic Flame - CSA Certified - Overheating Safety Protection - for Small Spaces - 18 1400W",8.94%,14.71%,B08LZNZ6X1,Duraflame 3D Infrared Electric Fireplace Stove with Remote Control - DFI-5010 (Black + Crackler Sound),7.06%,12.23%
Amazon.com,kindle,299,B07978J597,Kindle - Now with a Built-in Front Light - Black - Ad-Supported,25.40%,28.13%,B07PS737QQ,Kindle Paperwhite – Now Waterproof with 2x the Storage – Ad-Supported,15.70%,20.34%,B07L5GJD99,Kindle Oasis – Now with adjustable warm light,8.03%,5.96%
Amazon.com,chair,300,B00FS3VJAO,"Home Office Chair Ergonomic Desk Chair Mesh Computer Chair with Lumbar Support Armrest Executive Rolling Swivel Adjustable Mid Back Task Chair for Women Adults, Black",7.73%,11.65%,B01N2RJ0HI,"Gtracing Gaming Chair Racing Office Computer Ergonomic Video Game Chair Backrest and Seat Height Adjustable Swivel Recliner with Headrest and Lumbar Pillow Esports Chair,Red",5.06%,4.88%,B01MRZ02TL,Homall Gaming Chair Computer Office Chair,4.28%,4.25%
Amazon.com,dresses,301,B07WR491GQ,Dokotoo Womens Square Neckline Long Sleeve Floral Print Mini Dress,7.99%,6.54%,B07GBWVS3Z,Amoretu Women Summer Tunic Dress V Neck Casual Loose Flowy Swing Shift Dresses,7.24%,10.33%,B07C3W9QBH,GRACE KARIN Women's 50s 60s Vintage Sleeveless V-Neck Cocktail Swing Dress,4.72%,3.10%
Amazon.com,wall art,302,B07PHFCBVJ,3 Piece Canvas Wall Art for Living Room - Misty Forests of Evergreen Coniferous Trees in an Ethereal Landscape - Modern Home Decor Stretched and Framed Ready to Hang - 12x16x3 Panels wall decor,8.06%,9.86%,B086RCWCKG,"Botanical Plant Wall Art Prints - Set of 4 Plant Wall Decor Pictures Minimalist Wall Art Photo Prints Kitchen Leaves Wall Art Boho Leaf Eucalyptus Green Botanical Poster Set (8x10, UNFRAMED)",7.60%,6.19%,B0859BFMMX,Dremisland Macrame Woven Wall Hanging Moon Dream Catcher- Boho Chic Bohemian Home Decor Wall Art Decor Beautiful Apartment Dorm Room Door Decoration (Moon),3.43%,3.67%
Amazon.com,apple watch series 6,303,B08J5QC43Q,"New Apple Watch Series 6 (GPS, 40mm) - Space Gray Aluminum Case with Black Sport Band",26.39%,36.62%,B08J5MK16F,"New Apple Watch Series 6 (GPS, 44mm) - Space Gray Aluminum Case with Black Sport Band",13.43%,13.45%,B08J5QB5QT,"New Apple Watch SE (GPS, 44mm) - Silver Aluminum Case with White Sport Band",11.09%,8.21%
Amazon.com,kids face mask,304,B08BYXG1K8,mystcare Kids Disposable Face Mask 5-12 Years Old 50 Pack 3-Layer Breathable Filter Safety Face Masks for Kids Children Daily Use Child 50Pack(Blue),34.20%,1.07%,B08GZ4N4K8,12pcs Kids Reusable Face_Masks Washable Cute Cartoon Breathable Seamless Face Covering for Children Boys Girls,7.00%,8.58%,B08FFH4R8Y,"Woplagyreat Washable Reusable Kids Face Mask, Dinosaur Camouflage Camo Dino Cute Designer Breathable Cloth Cotton Madks Facemask for Boy Children Toddler Gift, Fabric Covering Adjustable Ear Loops",5.83%,10.87%
Amazon.com,airpods pro case,305,B0811T3SYV,Compatible AirPods Pro Case Cover Silicone Protective Case Skin for Apple Airpod Pro 2019 (Front LED Visible) Black,14.17%,22.10%,B089ZXH1FW,"elago AW5 Airpods Pro Case, Classic Handheld Game Console Design Case with Keychain for AirPods Pro [US Patent Registered] [Light Grey]",8.45%,6.51%,B07ZZG8DH7,"BRG for Airpods Pro Case,Soft Silicone Skin Cover Shock-Absorbing Protective Case with Keychain for Apple Airpods Pro [Front LED Visible]",5.79%,9.06%
Amazon.com,instant pot,306,B07RCNHTLS,"Instant Pot Duo Nova Pressure Cooker 7 in 1, 6 Qt, Best for Beginners",25.62%,35.51%,B00FLYWNYQ,"Instant Pot Duo 7-in-1 Electric Pressure Cooker, Sterilizer, Slow Cooker, Rice Cooker, Steamer, Saute, Yogurt Maker, and Warmer, 6 Quart, 14 One-Touch Programs",25.34%,26.41%,B07VT23JDM,"Instant Pot Duo Crisp Pressure Cooker 11 in 1, 8 Qt with Air Fryer, Roast, Bake, Dehydrate and more",10.55%,7.93%
Amazon.com,christmas wrapping paper,307,B088SQDN6F,"Hallmark Black Christmas Wrapping Paper with Cut Lines on Reverse (3 Rolls: 120 sq. ft. ttl) Retro Santa, Black and White Buffalo Plaid, Train and Trees",9.32%,8.51%,B07T5WLL6X,"Hallmark Holiday Reversible Wrapping Paper Bundle, Rustic Christmas (Pack of 3, 120 sq. ft. ttl) Plaid, Barn, Red Truck, Moose, Woodland Scenes",7.64%,9.18%,B088SD7RNF,"Hallmark Pink Christmas Wrapping Paper with Cut Lines on Reverse (3 Rolls: 120 sq. ft. ttl) Pink, Mint, Gold, Reindeer, Christmas Trees, Snowflakes",6.45%,4.87%
Amazon.com,bed frame,308,B076HN7HY8,DHP Janford Upholstered Bed with Chic Design | Queen | Grey Linen,14.38%,10.44%,B073WRF565,"AmazonBasics Foldable, 14 Metal Platform Bed Frame with Tool-Free Assembly, No Box Spring Needed - Full",5.38%,10.29%,B01LXM1HEK,"Zinus Joseph 10 Inch Metal Platforma Bed Frame / Mattress Foundation / Wood Slat Support / No Box Spring Needed / Sturdy Steel Structure, Queen",4.77%,3.36%
Amazon.com,yeti,309,B073WJRJZZ,"YETI Rambler 30 oz Stainless Steel Vacuum Insulated Tumbler w/MagSlider Lid, Black",13.28%,16.27%,B073WJMKHN,"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, Black",12.52%,15.72%,B07FM5HLMF,"YETI Rambler 20 oz Tumbler, Stainless Steel, Vacuum Insulated with MagSlider Lid, Navy",8.42%,10.65%
Amazon.com,iphone 12 mini case,310,B08H837D4Y,"GESMA Compatible for iPhone 12 Mini Case, Scratch Resistant & Anti Slip Grippy Soft TPU Case Compatible for iPhone 12 Mini Phone(Black)",10.02%,0.11%,B08CW8CFHZ,"TORRAS Slim Fit Compatible with iPhone 12 Mini Case 5.4 inch, Ultra Thin Silky Soft Touch Hard Plastic Matte Finish Grip Protective Designed for iPhone 12 Mini, Space Black",9.33%,10.21%,B08HV1GSKY,"Matone Compatible with iPhone 12 Mini Case 5.4-Inch (2020), Clear Slim Protective Hybrid Cover Case Hard PC Back with Flexible TPU Bumper",8.55%,11.00%
Amazon.com,leggings,311,B07QFTHGVV,A AGROSTE Women's High Waist Yoga Pants Tummy Control Workout Ruched Butt Lifting Stretchy Leggings Textured Booty Tights,11.40%,6.70%,B088FJP3F2,3 Pack Womens Leggings-No See-Through High Waisted Tummy Control Yoga Pants Workout Running Legging-Reg&Plus Size,11.05%,16.82%,B084ZY58GV,CAMPSNAIL Women High Waisted Leggings - Soft Tummy Control Slimming Yoga Pants for Workout Athletic Running Reg & Plus Size,6.36%,4.26%
Amazon.com,curtains,312,B01CS31NV6,"NICETOWN Thermal Insulated Grommet Blackout Curtains for Bedroom (2 Panels, W42 x L63 -Inch,Grey)",10.38%,14.66%,B004Y4GIWM,"Sun Zero Barrow Energy Efficient Rod Pocket Curtain Panel, 54 x 84, Black, One Panel",6.26%,6.67%,B07D6HCZTY,"BGment Blackout Curtains for Bedroom - Grommet Thermal Insulated Room Darkening Curtains for Living Room, Set of 2 Panels (42 x 63 Inch, Navy Blue)",5.33%,9.36%
Amazon.com,lol,313,B085B24ZGT,"L.O.L. Surprise Deluxe Present Surprise with Limited Edition Sprinkles Doll and Pet, Teal",7.37%,8.31%,B085B23C3X,L.O.L. Surprise! Present Surprise Doll with 8 Surprises,7.33%,12.14%,B085B24NK4,"L.O.L. Surprise! All-Star BBS Sports Series 2 Cheer Team Sparkly Dolls with 8 Surprises Including Doll, Trading Card, Bottle, Pompom, Shoes, Cheer Uniform, Secret Message, Accessories | Ages 4-15",6.51%,9.01%
Amazon.com,snacks,314,B0872ZMXBG,"OREO Original, OREO Golden, CHIPS AHOY! & Nutter Butter Cookie Snacks Variety Pack, Halloween Treats, 56 Snack Packs (2 Cookies Per Pack)",7.23%,6.13%,B01EAG3VZA,"Frito-Lay Ultimate Snack Care Package, Variety Assortment of Chips, Cookies, Crackers & More, 40 Count",6.05%,3.62%,B06XKHNCZW,"Nabisco Team Favorites Variety Pack, OREO Mini, CHIPS AHOY! Mini, Teddy Grahams Honey & Barnum's Animal Crackers, 30 - 1 oz Packs",4.72%,5.29%
Amazon.com,trampoline,315,B08HVY986V,"Trampoline 15ft with Enclosure, Kid and Adult Trampoline with Basketball Hoop, Ladder,Outdoor Round Trampolines for Teens and Toddler, ASTM Approved 440 LBS Load Weight",23.97%,0.00%,B077JTSR1K,Giantex Trampoline Combo Bounce Jump Safety Enclosure Net W/Spring Pad Ladder (10 FT),9.31%,8.58%,B08JLVQV1F,COLOR TREE Trampoline for Kids and Family - 10 FT 12 FT Recreational Trampoline with Safety Enclosure Net and Ladder and Spring Cover - Outdoor Backyard Bounce Jump Have Fun,6.76%,11.67%
Amazon.com,dog collar,316,B00HRQB1GC,"Blueberry Pet Essentials 22 Colors Classic Dog Collar, Turquoise, Large, Neck 18-26, Nylon Collars for Dogs",9.56%,13.14%,B01LZLEF0H,"Custom Catch Personalized Dog Collar - Engraved Soft Leather in XS, Small, Medium or Large Size, ID Collar, No Pet Tags or Embroidered Names",6.33%,5.60%,B08CK5Z5Q1,"Joytale Reflective Dog Collar,Soft Neoprene Padded Breathable Nylon Pet Collar Adjustable for Large Dogs,Teal,L",6.30%,10.27%
Amazon.com,amazon,317,B004LLIKVU,Amazon eGift Card,9.12%,20.77%,B07XJ8C8F5,All-new Echo Dot (4th Gen) | Smart speaker with Alexa | Charcoal,8.99%,1.68%,B07PF1Y28C,Echo Show 8 -- HD smart display with Alexa – stay connected with video calling - Charcoal,4.80%,2.18%
Amazon.com,socks,318,B084TPSKYV,Dickies Men's Dri-tech Moisture Control Crew Socks Multipack,7.93%,10.03%,B07SGY8TJF,"Champion Men's Double Dry Moisture Wicking Logo 6-Pack Crew Socks, Assorted, Shoe Size: 6-12",7.62%,7.60%,B08D22XC8M,Saucony Women's Performance Heel Tab Athletic Socks (8 & 16 Pairs),6.88%,6.19%
Amazon.com,nail kit,319,B08BJXC55V,"Gel Nail Polish Kit with UV Lamp Starter Kit,12 Colors Polygel Nail Kit,36W Nail Lamp Dryer and Electric Manicure Drill Set",26.32%,0.00%,B086Z12B6J,Laricris Gel Nail Polish Starter Kit Acrylic Nail kit with 36w UV Nail Lamp?12pcs Gel Polish Polygel Nail Kit Manicure Sets For Women Nail Art,22.85%,0.00%,B08FJ16VF6,Acrylic Nail Kit Acrylic Powder Liquid Brush Glitter Clipper File Tips Gel Nail art Tools Kit Professional Acrylic Nail Set,5.96%,9.25%
Amazon.com,teen girl gifts,320,B06XWV5X9N,"STMT DIY Journaling Set by Horizon Group USA, Personalize & Decorate Your Planner/Organizer/Diary with Stickers,Gems,Glitter Frames,Glitter Clips,Magnetic Bookmarks,Tassel Keychain & More.Pen Included",4.73%,5.37%,B07GPK3CNK,"LECLSTAR Photo Hanging Clips String, 50 LED Photo Clips String Lights 17ft Photo String Lights with Clips, 8 Modes Fairy Lights with Clips for Pictures, with Remote Function for Photos Pictures Cards",3.94%,5.82%,B07R1TPZYH,"CASOFU Burritos Blanket, Giant Flour Tortilla Throw Blanket, Novelty Tortilla Blanket for Your Family, 285 GSM Soft and Comfortable Flannel Taco Blanket for Adults. (71 inches)",3.69%,3.04%
Amazon.com,gift cards for amazon,321,B004LLIKVU,Amazon eGift Card,32.57%,37.01%,B07TMNH4N1,Amazon Gift Card - Print - Birthday Cupcakes,9.47%,7.03%,B07TMNGSN4,Amazon eGift Card - Birthday Cupcakes,6.85%,8.51%
Amazon.com,spiderman,322,B07TM1RLHH,Spider-Man: Far From Home,15.57%,8.06%,B073HL8JW4,Spider-Man: Homecoming,14.28%,29.92%,B000O19EWK,Spider-Man,13.16%,13.51%
Amazon.com,microwave,323,B07894S727,"AmazonBasics Microwave, Small, 0.7 Cu. Ft, 700W, Works with Alexa",11.85%,16.55%,B085JSK3JP,"Galanz GLCMKA07BER-07 Microwave, 0.7 Cu.Ft, Bebop Blue",10.57%,7.35%,B07VQJ5P3L,AmazonBasics Microwave bundle with Echo Dot (3rd Gen) - Charcoal,9.24%,5.18%
Amazon.com,horror movies,324,B08DX1WFWK,The Lie,3.30%,0.78%,B08DWNYLJY,Black Box,2.51%,0.39%,B08DX3HPKC,Evil Eye,2.49%,0.39%
Amazon.com,gifts,325,0762462876,Wacky Waving Inflatable Tube Guy (RP Minis),5.36%,6.04%,B07R1TPZYH,"CASOFU Burritos Blanket, Giant Flour Tortilla Throw Blanket, Novelty Tortilla Blanket for Your Family, 285 GSM Soft and Comfortable Flannel Taco Blanket for Adults. (71 inches)",5.31%,6.97%,B087J39S8J,Jessica Simpson Women's Comfy Faux Fur House Slipper Scuff Memory Foam Slip on Anti-skid Sole,4.79%,4.49%
Amazon.com,mini christmas tree,326,B08L4SXVQG,"Mini Christmas Tree,Tabletop Small Christmas Tree with Hanging Ornament Decoration,Home Party DIY Holiday Festival Decor for Desk Tops,Silver 8 Inch",8.99%,0.22%,B08L58PDYF,"Mini Artificial Christmas Tree Decorations, 20cm/9inch Miniature Table Christmas Tree with Ball Ornament for Holiday Festival Xmas Party Home Office Tabletop Decor Kids Favor Gift-Blue",8.91%,0.00%,B01MRHKZRX,Kurt Adler 12 Miniature Pine Tree,6.04%,6.16%
Amazon.com,printer,327,B01LAK6JVW,"HP DeskJet 3755 Compact All-in-One Wireless Printer, HP Instant Ink, Works with Alexa - Seagrass Accent (J9V92A)",14.76%,13.84%,B083ZZ96PT,"HP ENVY 6055 Wireless All-in-One Printer, Mobile Print, Scan & Copy, Works with Alexa (5SE16A)",8.75%,8.60%,B00NQ1CLTI,Brother HL-L2300D Monochrome Laser Printer with Duplex Printing,8.47%,10.85%
Amazon.com,electric blanket,328,B008BF2392,"Sunbeam Heated Blanket | 10 Heat Settings, Quilted Fleece, Newport Blue, Full - BSF9GFS-R595-13A00",16.87%,17.21%,B008BF28JM,"Sunbeam Heated Blanket | Microplush, 10 Heat Settings, Mushroom, Full - BSM9KFS-R772-16A00",6.05%,7.07%,B08CY47YJ7,"Bedsure Heated Blanket Throw Electric - with 5 Heat Setting, Fast Heating Blanket, 4 H Timer Auto - Off, Super Fuzzy Soft Microfiber Sherpa/Fleece Reversible Throw Blanket, 50 x 60 Inch Chocolate",5.80%,6.04%
Amazon.com,thermometer for adults forehead,329,B0824XNJSW,"Touchless Thermometer, Forehead Thermometer with Fever Alarm and Memory Function, Ideal for Babies, Infants, Children, Adults, Indoor, and Outdoor Use",18.63%,16.84%,B088TLH2GK,"Infrared Forehead Thermometer, Non-Contact Forehead Thermometer for Adults, Kids, Baby, Accurate Instant Readings No Touch Infrared Thermometer with 3 in 1 Digital LCD Display for Face, Ear, Body",17.86%,19.55%,B086DLRD8Y,"EasyEast Touchless Infrared Thermometer, Smart Forehead Thermometer, in-Ear Thermometer for Adult, Baby and Kids, Smart Digital Screen,Fast Reading Detection Thermometer,No Battery Included",9.41%,9.29%
Amazon.com,spongebob squarepants,330,B000HX6HKC,Help Wanted/Reef Blower/Tea at the Treedome,26.41%,4.08%,B000HJ4WLC,SpongeBob SquarePants Season 1,14.78%,1.36%,B000I187C4,Your Shoes Untied/Squid's Day Off,7.51%,1.25%
Amazon.com,ssd,331,B01N5IB20Q,Kingston 240GB A400 SATA 3 2.5 Internal SSD SA400S37/240G - HDD Replacement for Increase Performance,16.91%,17.79%,B089C73T72,SAMSUNG 870 QVO SATA III 2.5 SSD 1TB (MZ-77Q1T0B),14.72%,13.32%,B073SBZ8YH,"Western Digital 500GB WD Blue 3D NAND Internal PC SSD - SATA III 6 Gb/s, 2.5/7mm, Up to 560 MB/s - WDS500G2B0A",11.12%,10.60%
Amazon.com,mouse,332,B013WC0P2A,"VicTsing MM057 2.4G Wireless Mouse Portable Mobile Optical Mouse with USB Receiver, 5 Adjustable DPI Levels, 6 Buttons for Notebook, PC, Laptop, Computer, Macbook - Black",15.16%,23.24%,B076F5P28T,Jelly Comb 2.4G Slim Wireless Mouse with Nano Receiver MS001 (Black and Gold),9.05%,10.65%,B07GBZ4Q68,Logitech G502 Hero High Performance Gaming Mouse,7.37%,2.74%
Amazon.com,airpods case cover,333,B082W7DL1R,"AirPods Case Cover with Keychain, R-fun Full Protective Silicone AirPods Accessories Skin Cover for Women Girl with Apple AirPods Wireless Charging Case,Front LED Visible-Sky Blue",11.72%,17.11%,B07JHL2T8X,"Filoto Case for Airpods, Airpod Case Cover for Apple Airpods 2&1 Charging Case, Cute Air Pods Silicone Protective Accessories Cases/Keychain/Pompom/Strap, Best Gift for Girls and Women, Burgundy",9.03%,8.99%,B083LXVH1D,"elago AW5 AirPods Case Cover Compatible with Apple Airpods Case, Classic Game Player Design Case with Keychain for AirPods 2&1 (Light Grey) [US Patent Registered]",4.82%,4.07%
Amazon.com,womens fall clothes,334,B08FX487J1,PRETTYGARDEN Women’s Solid Two Piece Outfit Long Sleeve Crewneck Pullover Tops And Long Pants Sweatsuits Tracksuits,4.49%,3.86%,B07HHXFJH3,Unidear Womens Casual Lapel Open Front Plaid Vest Cardigan Coat with Pockets,3.86%,3.60%,B08L8QM2D9,Womens Stripes Color Block Knit Hoodies Sweaters Lightweight Drawstring Loose Pullover Sweatshirts,3.42%,3.00%
Amazon.com,christmas gifts for women,335,B08C2KKXNP,"GoldWorld Bluetooth Beanie,Bluetooth Hat,Bluetooth Beanie Hat w/Running Armband,Unique Gifts Stocking Stuffers for Women Mom Mother Teen Girls Her Wife Girlfriend Husband Men Dad Boy Him Friends",20.01%,0.00%,B08DG2BQGC,"Hand Cream,Hand Lotion,10 Packs Travel Size Hand Cream Gifts Set For Dry Cracked Aging Working Hands w/Lip Balm&Foot Cream,Unique Stocking Stuffers,Christmas Gifts for Women Mom Girls Her Wife Grandma",5.02%,1.43%,B087J39S8J,Jessica Simpson Women's Comfy Faux Fur House Slipper Scuff Memory Foam Slip on Anti-skid Sole,2.49%,1.85%
Amazon.com,my hero academia,336,B081NG8H45,"My Hero Academia Gift Sets, Including Cute Laptop Stickers, Drawstring Bag, Bracelets, Lanyard, Face Masks, Button Pins, Phone Ring Holder, Keychain",6.67%,5.96%,B08L9RSMXV,My Hero Academia: Heroes Rising,6.23%,11.62%,B08DNJX4WG,"My Hero Academia Gift Sets Including Drawstring Bag,Face Masks,Waterproof Stickers,Bracelets,Lanyard,Button Pins, Phone Ring Holder, Keychain for Anime MHA Fans",4.27%,3.27%
Amazon.com,polaroid camera,337,B077BFJG1Y,Fujifilm instax Mini 9 Instant Camera (Smokey White) and instax Film Twin Pack (20 Exposures) Bundle,14.38%,18.44%,B085286JCJ,Fujifilm Instax Mini 11 Instant Camera - Lilac Purple,10.08%,8.97%,B085PQCF7Y,Polaroid Originals Now I-Type Instant Camera - Black (9028),6.87%,6.53%
Amazon.com,mattress,338,B01IU6RJYA,"Linenspa 8 Inch Memory Foam and Innerspring Hybrid Medium-Firm Feel-Twin Mattress, White",14.57%,13.06%,B0777K9RGX,"Ashley Chime 12 Inch Medium Firm Memory Foam Mattress - CertiPUR-US Certified, Queen",8.72%,9.44%,B0876Z38K9,"ZINUS 12 Inch Euro Top Pocket Spring Hybrid Mattress / Pressure Relief / Pocket Innersprings for Motion Isolation / Bed-in-a-Box, Queen",5.51%,5.37%
Amazon.com,sexy lingerie for women,339,B01COY8R18,Avidlove Womens One Piece Lingerie Lace Halter Teddy Bodysuit V Neck Babydoll XS-XXL,7.36%,8.81%,B07SQ98PV9,SheIn Women's Sexy Ladder Cut Out Lingerie Set Push Up Two Piece Bra and Panty,5.70%,3.81%,B07Y42MC1G,Lace Bodysuit for Women Sexy Eyelash Teddy Valentine's Day Lingerie Naughty Negligee Bodysuit,4.25%,5.30%
Amazon.com,hand soap,340,B00NU9MJYS,"Mrs. Meyer's Clean Day Liquid Hand Soap, Cruelty Free and Biodegradable Formula, Lemon Verbena Scent, 12.5 oz- Pack of 3",12.19%,13.24%,B07RX1B633,"Amazon Brand - Solimo Liquid Hand Soap Refill, Milk and Honey Scent, Triclosan-free, 56 Fluid Ounces, Pack of 1",5.11%,4.67%,B07TJG79HP,"Mrs. Meyer's Clean Day Liquid Hand Soap, Cruelty Free and Biodegradable Formula, Rain Water Scent, 12.5 Oz- Pack of 3",4.53%,4.97%
Amazon.com,barbie dream house,341,B07Y9C848Y,"Barbie Dreamhouse Dollhouse with Wheelchair Accessible Elevator, Pool, Slide and 70 Accessories Including Furniture and Household Items, Gift for 3 to 7 Year Olds, Multicolor",36.72%,51.25%,B082WBGX7W,"Temi Dollhouse Dreamhouse Building Toys Figure w/ Furniture, Accessories, Movable Slides, Pets and Dolls, DIY Cottage Pretend Play Doll House, for Toddlers, Boys & Girls(11 Rooms)",11.85%,5.19%,B00T03U6AC,"Barbie Dreamhouse [Amazon Exclusive], Pink",10.99%,10.71%
